id,href,title,img,price,area,location,content,date
27622467,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phan-van-hon-phuong-tan-thoi-nhat-1-prj-prosper-plaza/chinh-chu-ban-q12-da-co-so-ng-2pn-2wc-gia-1-75-ty-lh-0979524762-pr27622467,"Bán căn hộ Prosper Plaza Quận12 sắp có sổ hồng 2PN 2WC, TT 1.4 tỷ nhận nhà ngay. LH: 0979524***",,,50 m²,"Quận 12, Hồ Chí Minh","Nhận mua bán ký gửi căn hộ - shophouse Prosper Plaza - thủ tục hồ sơ chuyển nhượng nhanh chóng, mau lẹ. - Chung cư thương mại Prosper Plaza mới bàn giao 2PN - 2WC, các căn hộ có ban công, hành lan",11/21/2020 18:36:58
27883839,https://batdongsan.com.vn/ban-dat-nen-du-an-phuong-phuoc-tan-prj-bien-hoa-new-city/chu-dau-tu-thh-ly-99-trong-tu-dt-91-va-100-150-200-250-500m2-pr27883839,Chủ đầu tư thanh lý 99 nền dự án nền Biên Hòa New City trong tuần DT 91 và 100 +150 +200-250-500m2),,,150 m²,"Biên Hòa, Đồng Nai","Chủ đầu tư thanh lý 99 nền dự án nền Biên Hòa New City trong tuần này (90m2 - 100m2 - 137m2 - 200 - 250 - 300m2). - Đất nền sổ đỏ trao tay, full thổ cư 100% cho quý khách hàng. Công chứng sang tê",11/21/2020 18:29:35
26984684,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-n1-phuong-son-ky-prj-celadon-city/ro-hang-1pn-2pn-3pn-du-an-emerald-cam-ket-100-co-phu-p-voi-khach-hang-pr26984684,"Dự án Emerald Celadon Rổ hàng căn hộ 1PN, 2PN, 3PN cam kết 100% có căn phù hợp với khách hàng",https://file4.batdongsan.com.vn/crop/350x232/2020/11/21/20201121163850-dc49_wm.jpg,,53 m²,"Tân Phú, Hồ Chí Minh","* Group chuyển nhượng Celadon City kính gửi đến quý khách Hàng rổ hàng CH cần bán gấp giá tốt nhất, gặp trực tiếp chủ nhà để thương lượng theo giá mong muốn, cam kết giá rẻ nhất thị trường, không làm",11/21/2020 16:27:31
26803077,https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-ta-quang-buu-phuong-4-15-prj-topaz-elite/tin-that-100-em-uyen-chuyen-ban-co-ngay-thap-nhat-thi-truong-lh-0934138748-pr26803077,Tin thật 100% em Uyên chuyên bán Topaz Elite có ngay căn hộ giá thấp nhất thị trường LH: 0934138***,https://file4.batdongsan.com.vn/crop/350x232/2020/08/26/20200826102509-ab8e_wm.jpg,,78 m²,"Quận 8, Hồ Chí Minh","Liên hệ 0934.138.*** Uyên (zalo/viber/call). Chuyên căn hộ Topaz Elite, cập nhật giỏ hàng tháng 11/2020. Tin thật, giá thật 100%, không mất thời gian của khách hàng.Cập nhật mới nhất rất nhiều căn hộ",11/21/2020 15:43:02
26358583,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phan-van-hon-phuong-tan-thoi-nhat-1-prj-prosper-plaza/ban-tro-lam-so-ng-dt-50-54-64-65-70m2-vay-ngan-hang-75-pr26358583,"Căn hộ có sổ hồng giá 2,150 tỷ, bao thuế phí- hỗ trợ ngân hàng 75% lãi suất 7%",https://file4.batdongsan.com.vn/crop/350x232/2020/07/22/20200722123554-2457_wm.jpg,,65 m²,"Quận 12, Hồ Chí Minh","Hotine: 0932 791 *** để được hỗ trợ. - Chỉ cần thanh toán 30% là sẽ sở hữu được ngôi nhà, ngân hàng Vietinbank, MB Bank bảo lãnh dự án và hỗ trợ vay đến 70%. Thủ tục đơn giản. - Pháp lý: Sổ hồng vĩnh",11/21/2020 14:21:53
27880655,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quoc-lo-13-phuong-binh-hoa-prj-astral-city/chu-dau-tu-chinh-thuc-mo-ban-chiet-khau-truc-tiep-lh-0908-66-5005-pr27880655,Chủ đầu tư: Chính thức mở bán căn hộ Astral city Bình Dương. Chiết khấu trực tiếp. LH 0908 66 5***,https://file4.batdongsan.com.vn/crop/350x232/2020/11/21/20201121133804-42a3_wm.jpg,,60 m²,"Thuận An, Bình Dương",CƠ HỘI ĐẦU TƯ & AN CƯ CÓ 102 | MUA NHÀ TRÚNG XE SANG Dự án Trung tâm thương mại & căn hộ cao cấp của Phát Đạt Corp - ASTRAL CITY Chủ đầu tư: Phát Đạt Corporations Giám sát chất lượng: TURNER,11/21/2020 13:42:52
27568486,https://batdongsan.com.vn/ban-dat-nen-du-an-duong-long-trach-xa-long-trach-prj-lang-biet-thu-vuon-gia-phu-vien/ban-lo-goc-mat-tien-tot-pr27568486,Bán lô đất biệt thự vườn Gia Phú Viên - lô góc mặt tiền giá tốt,https://file4.batdongsan.com.vn/crop/350x232/2020/10/27/20201027181532-3ffb_wm.jpg,,255 m²,"Cần Đước, Long An","Chính chủ cần bán nhanh lô đất VIP dự án Gia Phú Viên 2, Cần Đước Long An Đây là lô góc 2MT thuộc khu compound hạ tầng hoàn chỉnh và đẹp như trong hình Vị trí khu Gia Phú Viên này thuộc huyện Cần Đước, Long An cách Chợ Bến Thành 28km. Tầm 1h lái xe hơi. Phù hợp nhà nghỉ dưỡng cuối tuần. - Hạ tầng điện nước âm, cây xanh hoàn chỉnh. - Đã có gia đình chuyển về xây dựng nhà ở",11/21/2020 13:15:20
27880266,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-to-huu-phuong-van-phuc-1-prj-him-lam-van-phuc/hot-he-truc-tiep-chu-dau-tu-de-nhan-bang-gia-chiet-khau-len-den-1-ty-tai-phuc-pr27880266,HOT !LIÊN HỆ TRỰC TIẾP CHỦ ĐẦU TƯ ĐỂ NHẬN BẢNG GIÁ - CHIẾT KHẤU LÊN ĐẾN 1 TỶ- TẠI HIM LAM VẠN PHÚC ,https://file4.batdongsan.com.vn/crop/350x232/2020/11/21/20201121123502-923f_wm.jpg,,97 m²,"Hà Đông, Hà Nội","***LIÊN HỆ TRỰC TIẾP PHÒNG DỰ ÁN HIM LAM VẠN PHÚC *** Vị trí: 34 đường Tố Hữu (Nguyễn Thanh Bình nối dài) phường Vạn Phúc, Hà Đông, Hà Nội.*** HOTLINE : (Gặp Liễu) TRỰC TẠI SÀN GIAO DỊCH D",11/21/2020 12:43:50
27880228,https://batdongsan.com.vn/ban-nha-rieng-pho-ba-trieu-phuong-le-dai-hanh/cuc-dep-hiem-n-toa-mat-co-130m2x8tang-mt-5-5m-thang-may-gia-66ty-thue-250tr-thang-pr27880228,"CỰC ĐẸP-HIẾM,BÁN TOÀ NHÀ MẶT PHỐ CỔ BÀ TRIỆU,130M2X8TẦNG,MT 5.5M,THANG MÁY,GIÁ 66TỶ,THUÊ 250TR/THANG",https://file4.batdongsan.com.vn/crop/350x232/2020/11/21/20201121123100-a479_wm.jpeg,,130 m²,"Hai Bà Trưng, Hà Nội",√ Vị trí: ( Thông Tin Thật) + TOÀ nhà toạ lạc tại vị trí hiếm có khó tìm.vị trí mà tất cả các ngân hàng lớn đều muốn thuê để nói lên vẻ đẹp của căn nhà.,11/21/2020 12:33:50
27710159,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ho-tung-mau-phuong-phu-dien-prj-goldmark-city/tong-hop-150-re-nhat-3pn-gia-tu-2-9-ty-104m2-lh-0842005678-pr27710159,"Tổng hợp 150 căn rẻ nhất Goldmark City 3PN giá từ 2,9 tỷ - 104m2. LH: 0842005***",https://file4.batdongsan.com.vn/crop/350x232/2020/11/08/20201108093744-171a_wm.jpg,,104 m²,"Bắc Từ Liêm, Hà Nội","Tổng hợp 150 căn hộ giá rẻ nhất tại Goldmark City:Em xin gửi quý khách hàng bảng giá bán các căn hộ tại khu S, khu R và Diamond GoldMark City:+ Căn hộ 3PN: Diện tích 104m2, 114m2, 134m2, giá từ 2,9 - 4,5 tỷ.+ Căn hộ 4PN: Diện tích 139m2, 168m2, 173m2 giá từ 4,1 - 5 tỷ.Đã có sổ đỏ, ký HĐMB trực tiếp CĐT, hỗ trợ tư vấn trả góp ngân hàng 24 tháng 0% lãi suất, chiết khấu cao tới 15",11/21/2020 11:59:36
