id,tieude,dientich,khuvuc
,"Bán nhà 4 tầng, hẻm ô tô đường Âu Cơ, Tân Bình 8.9 tỷ",94 m²,"Quận Tân Bình, Hồ Chí Minh"
,"Bán nhà 118m2, 3 tầng, hẻm xe hơi đường Đất Thánh, phường 6 Tân Bình, 17 tỷ",118 m²,"Quận Tân Bình, Hồ Chí Minh"
,"Bán nhà mặt tiền 98m2, 4 tầng đường Gò Xoài, quận Bình Tân 12.7 tỷ",98 m²,"Quận Bình Tân, Hồ Chí Minh"
,"Bán nhà đường Nguyễn Trọng Tuyển, Tân Bình, 85m2, 3 tầng, 15.5 tỷ",85 m²,"Quận Tân Bình, Hồ Chí Minh"
,BIỆT THỰ MINI - LÔ GÓC 2 MẶT TIỀN - KINH DOANH - XE HƠI VÀO NHÀ.,45 m²,"Quận Gò Vấp, Hồ Chí Minh"
,"[HOT] Bán nhà MT Nguyễn Hồng Đào, Q Tân Bình (Miễn môi giới)",70 m²,"Quận Tân Bình, Hồ Chí Minh"
,Bán Gấp nhà Trần Quốc Hoàn - Hơn 200m2 5 tầng - Kinh doanh - Ô tô đậu cửa - 0904680515.,41 m²,"Quận Cầu Giấy, Hà Nội"
,"Nhà đẹp Tân Bình - Nguyễn Trọng Tuyển, sát mặt tiền, 50m2 vào ở ngay 5,9 tỷ.",49 m²,"Quận Tân Bình, Hồ Chí Minh"
,"(Gia đình nhỏ) Nhà Nguyễn Sơn, Tân Phú, mới đẹp vào ở ngay",36 m²,"Quận Tân Phú, Hồ Chí Minh"
,"Bán nhà Mặt tiền Trần Phú, Quận 5. DT: 35m2. Giá: 10,6 tỷ. Trệt + 2 Lầu",35 m²,"Quận 5, Hồ Chí Minh"
,Hiếm!!!Bán nhà cấp 4 mặt phố Nguyễn Viết Xuân-Hà Đông-gara ô tô-kinh doanh khủng-95m2-12.5tỷ,95 m²,"Quận Hà Đông, Hà Nội"
,"Nhà Bán Quận Bình ThạnhLô Góc,Hẻm Thông , Chu Văn An, 5Tầng,30m2 Chỉ 4,1 tỷ",30 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"Bán nhà Phú Nhuận,5 tầng, diện tích khủng,nở hậu tài lộc,Đang Cho Thuê Nguyên Căn 100tr,Cách1Căn Ra Mặt Tiền Hồ Văn Huê",151 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"Bán nhà phân lô phố Nguyên Hồng, Ba Đình: 55m. MT: 4m, KD, ô tô, lô góc. 11 tỷ. 0944828386",55 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà thái thịnh: Lô góc: 80m, MT: 8m, xây 4 tầng: Giá: 6,6 tỷ. LH: 0944828386",80 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà Tôn Đức Thắng, đống đa: 22m, xây 4 tầng, cách ô tô 30m, Giá: 2,6 tỷ. ",22 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà Tây Sơn, đồng đa: 30m, 3 tầng,MT: 5m,  lô góc, KD, ô tô tránh. GIá: 6,3 tỷ. 0944828386",30 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà Nguyễn Trãi, thanh xuân: 30m, lô góc, ô tô, KD nhỏ. Giá: 2,4 tỷ. 0944828386",30 m²,"Quận Thanh Xuân, Hà Nội"
,"Bán nhà mặt Phố Trích Sài, Tây Hồ: 40m, xây 7 tầng. Giá: 15 tỷ. LH: 0944828386",40 m²,"Quận Tây Hồ, Hà Nội"
,"Bán nhà số 15, ngõ 115 nguyễn lương băng, đống đa: 25m, 4 tầng, MT: 5m, Giá: 2,6 tỷ. LH: 0944828386",25 m²,"Quận Đống Đa, Hà Nội"
," Bất Động Sản đã trở lại, Đất nền dự án Điện Thắng Trung: nóng từng ngày, sinh lời từng giờ.  ",100 m²,"Huyện Điện Bàn, Quảng Nam"
,"Bán nhà 904 CHCC 198 Nguyễn Tuân (giáp đường lê văn lương), Thanh xuân, Hà Nội",90 m²,"Quận Thanh Xuân, Hà Nội"
